candidate	candidate_kind	stage	status	classification	rule_ids	occurrences	reason	surface_forms	source_rule	first_change	followup_change	lock_scope
er1	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	早期五声穷举遗留	LEGACY-FIVE-TONE-CLOSURE	0	当前来源没有该带调实例；它由早期每个韵母补齐五声的理论集合产生。		syllable/analysis/ganyin_categorizer.py::FinalCategorizer	先核对真实字典来源；没有实例时不要把理论组合提升为规范音节。	若后来找到实例，再从来源层进入正式编码链。	语义改动：单独审查并更新语义锁；不得混入布局改动。
io2	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	词典扩展干音的未实例化声调	ORTH-YO-TO-IO LEGACY-FIVE-TONE-CLOSURE	0	yo 在当前词典来源中有实例并分析为 y + io；这里只是 io 的这些声调未在现行来源中出现。	yo	internal_data/hanzi_pinyin/pinyin.txt 与 internal_data/phrase_pinyin/phrase_pinyin.txt	先寻找对应声调的真实字词实例；没有实例时不要按五声穷举补码。	来源事实优先；不得从理论干音直接写入 yinjie_code.json。	语义改动：单独审查并更新语义锁；不得混入布局改动。
io3	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	词典扩展干音的未实例化声调	ORTH-YO-TO-IO LEGACY-FIVE-TONE-CLOSURE	0	yo 在当前词典来源中有实例并分析为 y + io；这里只是 io 的这些声调未在现行来源中出现。	yo	internal_data/hanzi_pinyin/pinyin.txt 与 internal_data/phrase_pinyin/phrase_pinyin.txt	先寻找对应声调的真实字词实例；没有实例时不要按五声穷举补码。	来源事实优先；不得从理论干音直接写入 yinjie_code.json。	语义改动：单独审查并更新语义锁；不得混入布局改动。
io4	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	词典扩展干音的未实例化声调	ORTH-YO-TO-IO LEGACY-FIVE-TONE-CLOSURE	0	yo 在当前词典来源中有实例并分析为 y + io；这里只是 io 的这些声调未在现行来源中出现。	yo	internal_data/hanzi_pinyin/pinyin.txt 与 internal_data/phrase_pinyin/phrase_pinyin.txt	先寻找对应声调的真实字词实例；没有实例时不要按五声穷举补码。	来源事实优先；不得从理论干音直接写入 yinjie_code.json。	语义改动：单独审查并更新语义锁；不得混入布局改动。
iu1	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-IU-TO-IOU	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	iou	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
iu2	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-IU-TO-IOU	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	iou	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
iu3	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-IU-TO-IOU	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	iou	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
iu4	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-IU-TO-IOU	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	iou	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
iu5	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-IU-TO-IOU	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	iou	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
m3	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	早期五声穷举遗留	LEGACY-FIVE-TONE-CLOSURE	0	当前来源没有该带调实例；它由早期每个韵母补齐五声的理论集合产生。		yime.lexicon_bundle.gate.ReadingGate	先核实上游词典是否确有该带调实例；没有实例时保持不编码。	若找到实例，再从拼音来源重建完整链；禁止从 yinjie_code.json 中间补入。	语义改动：单独审查并更新语义锁；不得混入布局改动。
n1	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	早期五声穷举遗留	LEGACY-FIVE-TONE-CLOSURE	0	当前来源没有该带调实例；它由早期每个韵母补齐五声的理论集合产生。		yime.lexicon_bundle.gate.ReadingGate	先核实上游词典是否确有该带调实例；没有实例时保持不编码。	若找到实例，再从拼音来源重建完整链；禁止从 yinjie_code.json 中间补入。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ng1	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	早期五声穷举遗留	LEGACY-FIVE-TONE-CLOSURE	0	当前来源没有该带调实例；它由早期每个韵母补齐五声的理论集合产生。		yime.lexicon_bundle.gate.ReadingGate	先核实上游词典是否确有该带调实例；没有实例时保持不编码。	若找到实例，再从拼音来源重建完整链；禁止从 yinjie_code.json 中间补入。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ue1	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-JQX-UMLAUT	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	üe	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ue2	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-JQX-UMLAUT	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	üe	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ue3	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-JQX-UMLAUT	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	üe	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ue4	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-JQX-UMLAUT	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	üe	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ue5	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-JQX-UMLAUT	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	üe	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ueng2	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-W-FAMILY ENC-UENG-TO-UONG	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	ueng/uong	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ueng5	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-W-FAMILY ENC-UENG-TO-UONG	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	ueng/uong	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ui1	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-UI-TO-UEI	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	uei	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ui2	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-UI-TO-UEI	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	uei	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ui3	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-UI-TO-UEI	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	uei	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ui4	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-UI-TO-UEI	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	uei	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ui5	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-UI-TO-UEI	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	uei	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
un1	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-UN-TO-UEN	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	uen	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
un2	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-UN-TO-UEN	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	uen	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
un3	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-UN-TO-UEN	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	uen	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
un4	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-UN-TO-UEN	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	uen	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
un5	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	方案形式与音节拼写/编码形式差异	ORTH-UN-TO-UEN	0	该项属于方案韵母形式、音节表面拼写或编码查表名之间的等价表示，不是独立读音缺失。	uen	syllable/analysis/syllable_splitter.py	检查形式族的规范化关系；不要为两个写法建立平行编码。	语义规则改动须单独审查，不得混入布局修改。	语义改动：单独审查并更新语义锁；不得混入布局改动。
v1	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	ü	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
v2	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	ü	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
v3	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	ü	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
v4	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	ü	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
v5	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	ü	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
van1	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	üan	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
van2	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	üan	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
van3	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	üan	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
van4	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	üan	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
van5	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	üan	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ve1	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	üe	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ve2	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	üe	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ve3	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	üe	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ve4	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	üe	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ve5	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	üe	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
vn1	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	ün	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
vn2	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	ün	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
vn3	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	ün	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
vn4	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	ün	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
vn5	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	技术拼音别名	TECH-V-ALIAS	0	v 系列来自历史输入法或程序拼音，用于表示 ü 系列；现行规范层不建立第二套编码。	ün	yime/utils/pinyin_normalizer.py::PinyinNormalizer.normalize_one	只在兼容输入边界归一化为 ü；不要向规范音节表或码表补 v 系列。	兼容规则说明，不是现行规范音节缺失。	语义改动：单独审查并更新语义锁；不得混入布局改动。
ê5	theoretical_ganyin	ganyin_generation	not_generated_from_current_inventory	早期五声穷举遗留	LEGACY-FIVE-TONE-CLOSURE	0	当前来源没有该带调实例；它由早期每个韵母补齐五声的理论集合产生。		yime.lexicon_bundle.gate.ReadingGate	先核实上游词典是否确有该带调实例；没有实例时保持不编码。	若找到实例，再从拼音来源重建完整链；禁止从 yinjie_code.json 中间补入。	语义改动：单独审查并更新语义锁；不得混入布局改动。
